registry_path,folder,mime,size_bytes,bucket,matched_uuid,matched_title,matched_series,tier,confidence,evidence,candidate_uuids
Archivalofficeseries/archival-cancer--death-and-dying.mp4,Archivalofficeseries,video/mp4,1133190862,A,248;250,Cancer + Death and Dying,Office Series,T1x,1.00,"exact after collection-prefix strip: cancer; exact name key(s): deathanddying, deathdying; multi-work compilation (2 works)",
Archivalofficeseries/archival-depression--illness-self-healing--alcoholism.mp4,Archivalofficeseries,video/mp4,1507378092,A,242;243;244,Depression + Illness and Self-Healing + Alcoholism,Office Series,T1x,1.00,all significant tokens of a name segment match (prior: Office Series); exact after collection-prefix strip: depression; exact name key(s): alcoholism; exact name key(s): illnessselfhealing; multi-work compilation (3 works),
Archivalofficeseries/archival-drug-addiction-alcoholism--map-of-consciousness.mp4,Archivalofficeseries,video/mp4,1175346585,A,245;247,Drug Addiction and Alcoholism + A Map of Consciousness,Office Series,T1x,1.00,exact after collection-prefix strip: drugaddictionalcoholism; exact name key(s): mapconsciousness; multi-work compilation (2 works),
Archivalofficeseries/archival-sexuality--aging-process--handling-major-crises.mp4,Archivalofficeseries,video/mp4,1409805062,A,236;237;238,Sexuality + The Aging Process + Handling Major Crises,Office Series,T1x,1.00,all significant tokens of a name segment match (prior: Office Series); exact after collection-prefix strip: sexuality; exact name key(s): agingprocess; exact name key(s): handlingmajorcrises; multi-work compilation (3 works),
Archivalofficeseries/archival-stress--health--spiritual-first-aid.mp4,Archivalofficeseries,video/mp4,1576125082,A,233;234;235,Stress + Health + Spiritual First Aid,Office Series,T1x,1.00,all significant tokens of a name segment match (prior: Office Series); exact after collection-prefix strip: stress; exact name key(s): health; exact name key(s): spiritualfirstaid; multi-work compilation (3 works),
Archivalofficeseries/archival-worry-fear-anxiety--pain-and-suffering--losing-weight.mp4,Archivalofficeseries,video/mp4,1336461333,A,239;240;241,"Worry, Fear, and Anxiety + Pain and Suffering + Losing Weight",Office Series,T1x,1.00,"exact after collection-prefix strip: worryfearanxiety; exact name key(s): losingweight; exact name key(s): painandsuffering, painsuffering; multi-work compilation (3 works)",
Audiobooks/ANewEarth[B00FGGVZUM]/ANewEarth:AwakeningYourLife'sPurpose[B00FGGVZUM].m4b,Audiobooks,audio/x-m4b,263819909,C,,,,,0.00,no candidate at or above 0.55,
Audiobooks/AdvancingSpiritualAwareness[B00AZCGQ7E]/AdvancingSpiritualAwareness:PracticalSpirituality[B00AZCGQ7E].m4b,Audiobooks,audio/x-m4b,136397222,A,166;167;168,Practical Spirituality,Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: practicalspirituality,
"Audiobooks/AdvancingSpiritualAwareness[B00AZMXU96]/AdvancingSpiritualAwareness:OvercomingDoubt,Skepticism,andDisbelief[B00AZMXU96].m4b",Audiobooks,audio/x-m4b,137477849,A,163;164;165,"Overcoming Doubt, Skepticism & Disbelief",Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: overcomingdoubtskepticismdisbelief,
Audiobooks/AdvancingSpiritualAwareness[B00B1D1M8E]/AdvancingSpiritualAwareness:Belief:TrustandCredibility[B00B1D1M8E].m4b,Audiobooks,audio/x-m4b,138603121,A,160;161;162,"Belief, Trust and Credibility",Advanced Spiritual Awareness,T1p,1.00,exact after collection-prefix strip: belieftrustandcredibility,
