veritas_product_id,official_title,matched_master_uuids,official_categories,dominant_category,dominance_rule,mapped_series,review_status,reviewed_on,review_notes
1302,Discovery of the Presence of God: Devotional Nonduality,292,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1304,Satsang Series (Jan 2006),344,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1306,Satsang Series (Mar 2006),345,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1308,Satsang Series (May 2006),346,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1310,Satsang Series (Jul 2006),347,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1312,Satsang Series (Sep 2006),348,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1314,Satsang Series (Nov 2006),349,Satsang; Satsang 2006,Satsang,R2,Satsang Series,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1542,Power vs. Force Audio Book,202,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,rejected,2026-08-03,Master record 202 is the Volume I DVD; the audio product's 'Media Miscellaneous' category describes a different edition and must not re-series this record.
1544,Giving Up Illness through A Course in Miracles© – Audio,353,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,approved,2026-08-04,Bulk-approved 2026-08-04 with owner's delegation: taxonomy-derived series equals the curated series baseline for every referenced master ID (proven no-op; the 10 differing 2026-08-04 proposals stay pending owner ruling).
1546,Unity Church of Sedona 2005 March (CD),354,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1548,Unity Church of Sedona 2006 June (CD),355,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,proposed,,
1552,Golden Word Book Signing – Audio,265,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1562,Volume III: Advanced States of Consciousness,206; 207,Volume Series,Volume Series,R7,Volume Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
1564,Volume IV: Consciousness: How to Tell the Truth About Anything,208; 209,Volume Series,Volume Series,R7,Volume Series,approved,2026-08-03,Bulk-approved 2026-08-03 with owner's delegation: taxonomy-derived series equals the curated series baseline (286/286 uuid-level agreement after the inventory refresh).
